path,bcs
datasets/cow_dataset/85_4_11_10_116_cow.jpg,2.5
datasets/cow_dataset/66_4_7_20_324_cow.jpg,2.5
datasets/cow_dataset/85_4_11_10_118_cow.jpg,2.5
datasets/cow_dataset/85_4_6_10_241_cow.jpg,2.5
datasets/cow_dataset/45_4_15_12_38_cow.jpg,2.75
datasets/cow_dataset/40_4_9_21_246_cow.jpg,2.75
datasets/cow_dataset/738_4_24_22_113_cow.jpg,2.75
datasets/cow_dataset/696_4_7_21_278_cow.jpg,2.75
datasets/cow_dataset/738_4_24_22_109_cow.jpg,2.75
datasets/cow_dataset/71_4_25_23_104_cow.jpg,3
datasets/cow_dataset/37_4_5_20_221_cow.jpg,3
datasets/cow_dataset/713_4_5_12_109_cow.jpg,3
datasets/cow_dataset/71_4_10_20_156_cow.jpg,3
datasets/cow_dataset/713_4_9_22_265_cow.jpg,3
datasets/cow_dataset/GS_2189_7.jpg,3.25
datasets/cow_dataset/GS_2304_1.jpg,3.25
datasets/cow_dataset/GS_1110_2.jpg,3.25
datasets/cow_dataset/YM_905_9.jpg,3.25
datasets/cow_dataset/GS_852_6.jpg,3.25
datasets/cow_dataset/L-i1012.jpg,3.5
datasets/cow_dataset/YM_1242_2.jpg,3.5
datasets/cow_dataset/YM_501_7.jpg,3.5
datasets/cow_dataset/GS_363_10.jpg,3.5
datasets/cow_dataset/YM_165_5.jpg,3.5
datasets/cow_dataset/YM_1143_6.jpg,3.75
datasets/cow_dataset/R-i8999.jpg,3.75
datasets/cow_dataset/GS_800_1.jpg,3.75
datasets/cow_dataset/YM_1433_1.jpg,3.75
datasets/cow_dataset/GS_376_8.jpg,3.75
datasets/cow_dataset/GS_1443_10.jpg,4
datasets/cow_dataset/GS_3003_6.jpg,4
datasets/cow_dataset/R-i10209.jpg,4
datasets/cow_dataset/GS_3053_1.jpg,4
datasets/cow_dataset/GS_596_8.jpg,4
datasets/cow_dataset/GS_2458_7.jpg,4.25
datasets/cow_dataset/GS_1794_3.jpg,4.25
datasets/cow_dataset/GS_1605_6.jpg,4.25
datasets/cow_dataset/GS_1495_3.jpg,4.25
datasets/cow_dataset/GS_285_9.jpg,4.25
