path,bcs
./cow_dataset/71_4_10_20_158_cow.jpg1,3
./cow_dataset/71_4_10_20_156_cow.jpg,3
./cow_dataset/56_4_10_10_106_cow.jpg,2.75
./cow_dataset/37_4_5_20_221_cow.jpg,3
./cow_dataset/37_4_5_20_223_cow.jpg,3
./cow_dataset/40_4_15_12_401_cow.jpg,2.75
./cow_dataset/40_4_15_12_403_cow.jpg,2.75
./cow_dataset/696_4_7_21_278_cow.jpg,2.75
./cow_dataset/40_4_9_21_246_cow.jpg,2.75
./cow_dataset/44_4_7_20_3_cow.jpg,3
./cow_dataset/40_4_6_10_363_cow.jpg,2.75
./cow_dataset/713_4_5_22_361_cow.jpg,3
./cow_dataset/713_4_5_22_363_cow.jpg,3
./cow_dataset/45_4_15_12_36_cow.jpg,2.75
./cow_dataset/45_4_15_12_38_cow.jpg,2.75
./cow_dataset/45_4_7_22_180_cow.jpg,2.75
./cow_dataset/713_4_6_12_62_cow.jpg,3
./cow_dataset/738_4_6_11_156_cow.jpg,2.75
./cow_dataset/713_4_5_22_11_cow.jpg,3
./cow_dataset/713_4_5_22_9_cow.jpg,3
./cow_dataset/56_4_4_12_2_cow.jpg,2.75
./cow_dataset/696_4_6_10_175_cow.jpg,2.75
./cow_dataset/733_4_6_13_41_cow.jpg,2.75
./cow_dataset/42_4_6_11_266_cow.jpg,3
./cow_dataset/738_4_4_12_139_cow.jpg,2.75
./cow_dataset/85_4_11_10_116_cow.jpg,2.5
./cow_dataset/56_4_15_13_24_cow.jpg,2.75
./cow_dataset/56_4_15_13_26_cow.jpg,2.75
./cow_dataset/738_4_4_20_45_cow.jpg,2.75
./cow_dataset/713_4_4_13_198_cow.jpg,3
./cow_dataset/42_4_4_23_59_cow.jpg,3
./cow_dataset/713_4_5_12_109_cow.jpg,3
./cow_dataset/713_4_9_22_265_cow.jpg,3
./cow_dataset/85_4_11_10_118_cow.jpg,2.5
./cow_dataset/713_4_10_22_193_cow.jpg,3
./cow_dataset/85_4_6_10_241_cow.jpg,2.5
./cow_dataset/738_4_22_21_104_cow.jpg,2.75
./cow_dataset/738_4_22_21_106_cow.jpg,2.75
./cow_dataset/738_4_22_21_108_cow.jpg,2.75
./cow_dataset/738_4_22_21_110_cow.jpg,2.75
./cow_dataset/738_4_24_22_109_cow.jpg,2.75
./cow_dataset/738_4_24_22_111_cow.jpg,2.75
./cow_dataset/738_4_24_22_113_cow.jpg,2.75
./cow_dataset/56_4_23_22_102_cow.jpg,2.75
./cow_dataset/56_4_23_22_104_cow.jpg,2.75
./cow_dataset/42_4_20_23_110_cow.jpg,3
./cow_dataset/71_4_25_23_104_cow.jpg,3
./cow_dataset/696_4_27_12_67_cow.jpg,2.75
./cow_dataset/696_4_27_12_69_cow.jpg,2.75
./cow_dataset/40_4_24_23_111_cow.jpg,2.75
./cow_dataset/40_4_24_23_113_cow.jpg,2.75
./cow_dataset/66_4_7_20_324_cow.jpg,2.5
./cow_dataset/GS_1086_3.jpg,3.25
./cow_dataset/L-i1965.jpg,3.25
./cow_dataset/GS_2211_7.jpg,3.25
./cow_dataset/GS_3145_4.jpg,3.25
./cow_dataset/YM_1816_1.jpg,3.25
./cow_dataset/GS_2326_5.jpg,3.25
./cow_dataset/YM_231_3.jpg,3.25
./cow_dataset/L-i6946.jpg,3.25
./cow_dataset/L-i1333.jpg,3.25
./cow_dataset/R-i1448.jpg,3.25
./cow_dataset/L-i1041.jpg,3.25
./cow_dataset/GS_3145_3.jpg,3.25
./cow_dataset/YM_1007_3.jpg,3.25
./cow_dataset/YM_1816_2.jpg,3.25
./cow_dataset/YM_1226_4.jpg,3.25
./cow_dataset/YM_277_3.jpg,3.25
./cow_dataset/YM_864_1.jpg,3.25
./cow_dataset/GS_1640_1.jpg,3.25
./cow_dataset/YM_1697_6.jpg,3.25
./cow_dataset/R-i1965.jpg,3.25
./cow_dataset/GS_805_4.jpg,3.25
./cow_dataset/L-i6890.jpg,3.25
./cow_dataset/GS_1080_2.jpg,3.25
./cow_dataset/GS_2189_7.jpg,3.25
./cow_dataset/GS_699_5.jpg,3.25
./cow_dataset/GS_1836_3.jpg,3.25
./cow_dataset/GS_2386_2.jpg,3.25
./cow_dataset/GS_656_9.jpg,3.25
./cow_dataset/YM_1537_6.jpg,3.25
./cow_dataset/GS_2127_6.jpg,3.25
./cow_dataset/GS_1343_11.jpg,3.25
./cow_dataset/GS_915_8.jpg,3.25
./cow_dataset/YM_1369_1.jpg,3.25
./cow_dataset/GS_2122_9.jpg,3.25
./cow_dataset/GS_3162_12.jpg,3.25
./cow_dataset/GS_1060_2.jpg,3.25
./cow_dataset/GS_1224_2.jpg,3.25
./cow_dataset/GS_2246_1.jpg,3.25
./cow_dataset/YM_1073_5.jpg,3.25
./cow_dataset/GS_184_6.jpg,3.25
./cow_dataset/GS_2273_5.jpg,3.25
./cow_dataset/YM_1281_3.jpg,3.25
./cow_dataset/YM_871_14.jpg,3.25
./cow_dataset/YM_1630_4.jpg,3.25
./cow_dataset/GS_734_4.jpg,3.25
./cow_dataset/R-i650.jpg,3.25
./cow_dataset/YM_481_2.jpg,3.25
./cow_dataset/GS_840_1.jpg,3.25
./cow_dataset/YM_726_4.jpg,3.25
./cow_dataset/GS_2708_8.jpg,3.25
./cow_dataset/YM_1789_6.jpg,3.25
./cow_dataset/YM_1789_5.jpg,3.25
./cow_dataset/GS_771_5.jpg,3.25
./cow_dataset/GS_1508_5.jpg,3.25
./cow_dataset/YM_619_9.jpg,3.25
./cow_dataset/GS_2304_1.jpg,3.25
./cow_dataset/GS_531_11.jpg,3.25
./cow_dataset/GS_2215_1.jpg,3.25
./cow_dataset/GS_531_4.jpg,3.25
./cow_dataset/GS_1110_2.jpg,3.25
./cow_dataset/GS_1050_2.jpg,3.25
./cow_dataset/GS_1946_3.jpg,3.25
./cow_dataset/GS_2130_12.jpg,3.25
./cow_dataset/GS_600_11.jpg,3.25
./cow_dataset/GS_2041_8.jpg,3.25
./cow_dataset/R-i7364.jpg,3.25
./cow_dataset/GS_1330_3.jpg,3.25
./cow_dataset/GS_1039_7.jpg,3.25
./cow_dataset/R-i861.jpg,3.25
./cow_dataset/GS_2063_3.jpg,3.25
./cow_dataset/YM_1281_5.jpg,3.25
./cow_dataset/GS_2215_3.jpg,3.25
./cow_dataset/GS_3295_3.jpg,3.25
./cow_dataset/GS_601_9.jpg,3.25
./cow_dataset/GS_2064_7.jpg,3.25
./cow_dataset/R-i8090.jpg,3.25
./cow_dataset/GS_1233_9.jpg,3.25
./cow_dataset/GS_1097_4.jpg,3.25
./cow_dataset/YM_1630_10.jpg,3.25
./cow_dataset/R-i849.jpg,3.25
./cow_dataset/GS_1106_4.jpg,3.25
./cow_dataset/GS_2384_2.jpg,3.25
./cow_dataset/GS_1176_2.jpg,3.25
./cow_dataset/YM_2_1.jpg,3.25
./cow_dataset/GS_2273_1.jpg,3.25
./cow_dataset/GS_1687_4.jpg,3.25
./cow_dataset/R-i850.jpg,3.25
./cow_dataset/YM_894_5.jpg,3.25
./cow_dataset/YM_905_15.jpg,3.25
./cow_dataset/GS_105_1.jpg,3.25
./cow_dataset/YM_1425_4.jpg,3.25
