filename,bcs
cat_01.jpeg,4
cat_02.jpeg,5
cat_03.jpeg,8
cat_04.jpeg,7
cat_05.jpeg,4
cat_06.jpeg,5
cat_07.jpeg,5
cat_08.jpeg,1
cat_09.jpeg,5
cat_10.jpeg,7
cat_11.jpeg,9
cat_12.jpeg,8
cat_13.jpeg,9
cat_14.jpeg,9
cat_15.jpeg,9
cat_16.jpeg,9
cat_17.jpeg,5
cat_18.jpeg,3
cat_19.jpeg,5
cat_20.jpeg,5
cat_21.jpeg,7
cat_22.jpeg,1
cat_23.jpeg,6
cat_24.jpeg,7
cat_25.jpeg,4
cat_26.jpeg,6
cat_27.jpeg,5
cat_28.jpeg,4
cat_29.jpeg,6
cat_30.jpeg,4
cat_31.jpeg,5
cat_32.jpeg,4
cat_33.jpeg,9
cat_34.jpeg,7
cat_35.jpeg,7
cat_37.jpeg,9
cat_38.jpeg,8
cat_39.jpeg,7
cat_40.jpeg,8
cat_41.jpeg,6
cat_42.jpeg,7
cat_43.jpeg,4
cat_44.jpeg,9
cat_45.jpeg,5
cat_46.jpeg,7
cat_47.jpeg,4
cat_48.jpeg,4
cat_49.jpeg,8
cat_50.jpeg,5
