filename,bcs
cat_bcs1_side_070deg.png,1
cat_bcs1_side_015deg.png,1
cat_bcs1_side_175deg.png,1
cat_bcs1_side_155deg.png,1
cat_bcs1_side_140deg.png,1
cat_bcs1_side_085deg.png,1
cat_bcs1_side_065deg.png,1
cat_bcs1_side_055deg.png,1
cat_bcs1_side_270deg.png,1
cat_bcs1_side_020deg.png,1
cat_bcs2_side_015deg.png,2
cat_bcs2_side_055deg.png,2
cat_bcs2_side_135deg.png,2
cat_bcs2_side_145deg.png,2
cat_bcs2_side_320deg.png,2
cat_bcs2_top.png,2
cat_bcs2_side_125deg.png,2
cat_bcs2_side_265deg.png,2
cat_bcs2_side_140deg.png,2
cat_bcs2_side_285deg.png,2
cat_bcs3_side_175deg.png,3
cat_bcs3_side_000deg.png,3
cat_bcs3_side_100deg.png,3
cat_bcs3_side_270deg.png,3
cat_bcs3_side_215deg.png,3
cat_bcs3_top.png,3
cat_bcs3_side_095deg.png,3
cat_bcs3_side_135deg.png,3
cat_bcs3_side_340deg.png,3
cat_bcs3_side_065deg.png,3
cat_bcs4_side_055deg.png,4
cat_bcs4_side_240deg.png,4
cat_bcs4_side_060deg.png,4
cat_bcs4_side_225deg.png,4
cat_bcs4_side_220deg.png,4
cat_bcs4_side_165deg.png,4
cat_bcs4_side_025deg.png,4
cat_bcs4_side_290deg.png,4
cat_bcs4_side_075deg.png,4
cat_bcs4_side_355deg.png,4
cat_bcs5_side_050deg.png,5
cat_bcs5_side_350deg.png,5
cat_bcs5_side_185deg.png,5
cat_bcs5_side_230deg.png,5
cat_bcs5_side_120deg.png,5
cat_bcs5_side_040deg.png,5
cat_bcs5_side_025deg.png,5
cat_bcs5_side_145deg.png,5
cat_bcs5_side_355deg.png,5
cat_bcs5_top.png,5
cat_bcs6_side_145deg.png,6
cat_bcs6_side_060deg.png,6
cat_bcs6_side_240deg.png,6
cat_bcs6_side_175deg.png,6
cat_bcs6_side_290deg.png,6
cat_bcs6_side_230deg.png,6
cat_bcs6_side_100deg.png,6
cat_bcs6_side_235deg.png,6
cat_bcs6_side_225deg.png,6
cat_bcs6_side_130deg.png,6
cat_bcs7_side_170deg.png,7
cat_bcs7_side_045deg.png,7
cat_bcs7_side_105deg.png,7
cat_bcs7_side_340deg.png,7
cat_bcs7_side_155deg.png,7
cat_bcs7_side_100deg.png,7
cat_bcs7_side_295deg.png,7
cat_bcs7_side_240deg.png,7
cat_bcs7_top.png,7
cat_bcs7_side_140deg.png,7
cat_bcs8_side_205deg.png,8
cat_bcs8_side_035deg.png,8
cat_bcs8_side_145deg.png,8
cat_bcs8_side_020deg.png,8
cat_bcs8_side_200deg.png,8
cat_bcs8_side_255deg.png,8
cat_bcs8_side_170deg.png,8
cat_bcs8_side_040deg.png,8
cat_bcs8_side_135deg.png,8
cat_bcs8_side_340deg.png,8
cat_bcs9_side_135deg.png,9
cat_bcs9_side_315deg.png,9
cat_bcs9_side_250deg.png,9
cat_bcs9_side_290deg.png,9
cat_bcs9_side_090deg.png,9
cat_bcs9_side_165deg.png,9
cat_bcs9_side_085deg.png,9
cat_bcs9_side_155deg.png,9
cat_bcs9_side_335deg.png,9
cat_bcs9_side_270deg.png,9
