filename,bcs
underweight_dogs/2e4ea820abcdd0e2ef998cf4984638f2.jpg,1
underweight_dogs/096b7d37a8430f32b6c4dcc8844f34e2.jpg,1
underweight_dogs/7089099206c82ebe6c9fd9f65eab5e05.jpg,1
underweight_dogs/5fb24e6c741c281add139b0b9fb86fd5.jpg,1
underweight_dogs/594079be8eb4c86e25872efb15ad9612.jpg,1
underweight_dogs/38e8221e6ab86d0703d6f3072fa8fd62.jpg,1
underweight_dogs/2aaf1fafb5c675f36e2e0205006cfb2b.jpg,1
underweight_dogs/29cf1d631abf7283cff40016b47c367a.jpg,1
underweight_dogs/ba731575340101a7c291684a8bbeae9f.jpg,1
underweight_dogs/0ce3e44c9f2729410a718f5289c9c171.jpg,1
normal_dogs/american_bulldog_38.jpg,2
normal_dogs/basset_hound_84.jpg,2
normal_dogs/chihuahua_24.jpg,2
normal_dogs/english_setter_146.jpg,2
normal_dogs/newfoundland_161.jpg,2
normal_dogs/saint_bernard_194.jpg,2
normal_dogs/pug_160.jpg,2
normal_dogs/chihuahua_152.jpg,2
normal_dogs/shiba_inu_32.jpg,2
normal_dogs/samoyed_27.jpg,2
overweight_dogs/b53687363fe5d993589599aaa746ed41.jpg,3
overweight_dogs/6af19e92317dd061171317e5d005ef84.jpg,3
overweight_dogs/ccebae9606428265e382eda5bbfb14f8.jpg,3
overweight_dogs/801defee35e698d072d8e825bd8d2783.jpg,3
overweight_dogs/041492ef3e7d2e4143361f041ecfe103.jpg,3
overweight_dogs/518150a50fdb0f5ca0335d89f79b3d45.jpg,3
overweight_dogs/b7b8576e8532d0d42f087c92e6028607.jpg,3
overweight_dogs/993ce9b304a3dd4eabddd0f4cda3c43e.jpg,3
overweight_dogs/51034e3e27db403f0fa1718cb0feefb1.jpg,3
overweight_dogs/6a8a731bfca1c97435be2e05e7ae68ed.jpg,3
